,eventid,eventtype,eventname,eventdescription,Option_1,Option_2,Option_3,Option_4,Option_1_effect,Option_2_effect,Option_1_effect3,Option_4_effect
,1,char_creation,rising_power,You are offered a position of leadership within your community or profession. Do you:,"Accept the responsibility, driven by a desire to serve and improve lives.","Decline the offer, preferring to focus on your own goals.",Use the position to manipulate others and gain personal power.,"Accept the offer with ulterior motives, seeking to benefit yourself.",'+Knowledge +Authority,'+Knowledge +Presence,+Cunning +Presence,+Cunning +Intellect
,2,char_creation,rising_power,You are faced with a crisis that threatens the city's prosperity. Do you:,"Lead the people through the crisis, offering solutions and hope.","Seek help from outside forces, sacrificing some autonomy for assistance.","Exploit the crisis for personal gain, hoarding resources and profiteering.","Remain indifferent, hoping the crisis will resolve itself.",+Cunning -Authority,+Authority -Presence,+Cunning +Intellect,'+Knowledge -Authority
,3,char_creation,rising_power,You uncover a conspiracy threatening the stability of the city. Do you:,"Expose the conspiracy publicly, rallying the people for action.","Gather evidence and present it to the authorities, trusting the system.",Use the information to manipulate the situation for your own advantage.,"Remain silent, fearing the consequences of involvement.",+Presence +Authority,+Authority +Intellect,+Cunning +Intellect,-Presence -Authority
,4,char_creation,rising_power,You are offered a chance to lead a military campaign against a rival city. Do you:,"Accept the challenge, eager to prove your strategic prowess.","Decline, fearing the bloodshed and potential consequences.","Negotiate for a peaceful solution, prioritizing diplomacy.",Use the opportunity to gain personal power and resources.,+Might +Authority,+Might -Stewardship,+Intellect +Cunning,+Cunning -Presence
,5,char_creation,rising_power,A devastating natural disaster strikes the city. Do you:,"Organize relief efforts, providing aid and leadership to the people.","Exploit the chaos for personal gain, hoarding resources and profiteering.","Seek outside help from powerful allies, potentially compromising autonomy.",Use the disaster as an opportunity to consolidate your power.,+Stewardship +Presence,+Cunning -Authority,+Authority -Stewardship,+Cunning -Stewardship
,6,char_creation,rising_power,You are invited to join a secret society promising influence and power. Do you:,"Join readily, seeking access to their knowledge and resources.","Decline, wary of their hidden motives and potential dangers.","Investigate them further, gathering information before making a decision.",Use the invitation as leverage to gain favors from other powerful figures.,+Cunning +Intellect,+Authority -Presence,+Knowledge +Intellect,+Cunning -Authority
,7,char_creation,rising_power,You face a public outcry against your leadership. Do you:,"Address the concerns openly and honestly, seeking solutions.","Crack down on dissent, silencing opposition and maintaining control.",Manipulate public opinion through propaganda and misinformation.,"Resign your position, avoiding further conflict and turmoil.",+Presence +Intellect,+Authority,+Cunning -Authority,+Knowledge -Authority
,8,char_creation,rising_power,You are presented with an opportunity to expand your city's territory through conquest. Do you:,"Lead the conquest personally, driven by ambition and expansion.",Seek peaceful annexation through diplomacy and negotiation.,"Oppose the expansion, prioritizing peace and stability.",Use the opportunity to enrich yourself through spoils of war.,+Might +Authority,'+Presence +Stewardship,+Stewardship +Presence,+Cunning -Presence
,9,char_creation,rising_power,"You reach a pivotal moment in your rise to power, facing a final challenge. Do you:","Confront the challenge head-on, showcasing your strength and resolve.",Use cunning and strategic manoeuvrers to overcome the obstacle.,Seek alliances and forge pacts to bolster your position.,Rely on your charisma and leadership to inspire others to overcome the challenge.,+Might +Presence,+Cunning +Intellect,+Authority +Stewardship,+Presence +Cunning
,10,char_creation,coming_of_age,You discover a secret passage leading to forgotten ruins. Do you:,"Venture forth eagerly, seeking adventure and hidden knowledge.","Seal the passage, fearing the dangers that may lurk within.",Seek guidance from an elder or scholar before proceeding.,"Use the passage for personal gain, looting treasures if any exist.","+Intellect, +Cunning","+Stewardship, -Authority","+Knowledge, +Stewardship","+Cunning, -Authority"
